Scenario Capacity Slack Demand DistanceTraveled RidingTime WaitingTime Obj ComputationTime
1_0 15 0.08 200 12.3028 35.1684 1292.27 1339.74 17.9768
1_1 15 0.08 200 12.2264 39.91 1176.12 1228.26 15.6236
1_2 15 0.08 200 12.2555 38.8666 1068.95 1120.08 13.7388
1_3 15 0.08 300 18.7396 52.7973 3768.05 3839.59 124.162
1_4 15 0.08 300 18.4774 54.8509 3710.51 3783.84 130.05
1_5 15 0.08 300 18.4458 59.4358 3293.68 3371.56 105.839
1_6 15 0.08 400 23.6795 83.2036 6176.67 6283.55 304.259
1_7 15 0.08 400 25.8561 73.2855 7081.87 7181.01 305.246
1_8 15 0.08 400 24.3936 76.7153 6665.52 6766.63 288.98
1_9 20 0.08 200 12.0039 34.8604 1127.24 1174.1 14.0764
1_10 20 0.08 200 12.2624 37.9761 1174.43 1224.66 14.767
1_11 20 0.08 200 12.1797 36.8767 1258.97 1308.03 17.8398
1_12 20 0.08 300 17.8264 56.2315 3212.56 3286.62 74.8756
1_13 20 0.08 300 18.3101 61.7752 3447.98 3528.06 82.0744
1_14 20 0.08 300 19.0722 57.3426 3684.58 3761 95.5331
1_15 20 0.08 400 25.0663 72.9974 6746.8 6844.86 287.909
1_16 20 0.08 400 24.8643 80.4041 6648.25 6753.52 291.458
1_17 20 0.08 400 23.8566 71.5175 6320.07 6415.45 265.991
1_18 25 0.08 200 11.2129 43.0721 968.42 1022.71 16.0146
1_19 25 0.08 200 12.2864 43.5064 1137.39 1193.19 20.5884
1_20 25 0.08 200 11.3822 36.3833 959.893 1007.66 15.9551
1_21 25 0.08 300 17.8926 57.9444 3206.24 3282.08 100.277
1_22 25 0.08 300 18.268 57.8806 3299.54 3375.68 105.672
1_23 25 0.08 300 17.5909 60.7269 3055.5 3133.81 82.3783
1_24 25 0.08 400 22.963 74.9453 6062.72 6160.62 247.239
1_25 25 0.08 400 24.7726 71.189 6629.32 6725.28 286.56
1_26 25 0.08 400 25.2378 74.4595 7114.19 7213.89 324.251
1_27 15 0.16 200 9.43559 105.806 43.0834 158.325 2.83575
1_28 15 0.16 200 9.074 103.633 91.9897 204.697 2.80502
1_29 15 0.16 200 9.26283 97.3679 146.502 253.133 3.18227
1_30 15 0.16 300 12.5336 157.414 1346.66 1516.61 15.2601
1_31 15 0.16 300 12.8339 154.78 1621.76 1789.38 18.4921
1_32 15 0.16 300 12.9316 158.709 1553.22 1724.86 17.179
1_33 15 0.16 400 17.4693 202.86 3730.98 3951.31 66.008
1_34 15 0.16 400 16.9901 219.468 3696.25 3932.71 69.2296
1_35 15 0.16 400 17.4586 214.662 3851.06 4083.18 71.3753
1_36 20 0.16 200 8.6709 103.973 31.6237 144.268 1.9414
1_37 20 0.16 200 8.03822 103.731 32.3259 144.096 1.68444
1_38 20 0.16 200 8.50012 108.266 32.1624 148.929 1.59962
1_39 20 0.16 300 10.8975 162.197 622.329 795.424 7.81033
1_40 20 0.16 300 10.7641 161.676 393.62 566.061 7.4454
1_41 20 0.16 300 10.6259 165.453 377.058 553.137 6.57191
1_42 20 0.16 400 14.1437 214.249 2463.97 2692.37 37.0342
1_43 20 0.16 400 14.4718 222.331 2383.04 2619.85 36.1628
1_44 20 0.16 400 14.1577 215.122 2139.52 2368.8 31.3572
1_45 25 0.16 200 8.1336 105.034 29.7149 142.883 1.08805
1_46 25 0.16 200 8.39582 109.745 29.2667 147.407 1.11283
1_47 25 0.16 200 8.22034 104.659 25.5862 138.466 1.31717
1_48 25 0.16 300 10.4575 161.512 382.099 554.068 5.70714
1_49 25 0.16 300 10.6752 160.595 431.437 602.707 6.98292
1_50 25 0.16 300 10.4271 161.106 236.966 408.499 6.02769
1_51 25 0.16 400 13.7141 216.139 1712.23 1942.09 23.6322
1_52 25 0.16 400 13.041 222.556 1352.04 1587.63 19.8972
1_53 25 0.16 400 13.7363 217.591 1864.49 2095.82 27.8742
